id,filename,speaker,tags,transcription
1,%23CUCKLIFE.mp3,tim,"cucklife, hashtag, cuck",hashtag cucklife
2,%23SLUT.mp3,unknown man,"slut, hashtag",hashtag slut
3,(LARRY)%20JIMBO.wav,larry,jimbo,"no you need to do it both, jimbo"
4,10%20GAY%20GUYS.mp3,tim,"gay, gays, guys",lets line up 10 gay guys
5,15%20BOYS%20WAITIN%20FOR%20ME.wav,weezer,"boys, weezer",15 boys waiting for me
6,1s%20and%202s.wav,tim,"dj, scratch pad",
7,2%20GUYS%20IN%20THE%20SHOWER.wav,weezer,"guys, guy, shower",just two guys in the shower
8,2%20INCHES%20BE%20SMALL.mp3,tim,"small, inch",2 inch would be really small
9,2-6%20Twink%20hit%20car.wav,doug,"twink, twinks, car","so a twink hit your car, is what youre saying"
10,20%20Twinks.mp3,doug,"twink, twinks, surrounded",I was surrounded by 20 twinks
11,3%20HOT%20GUYS.mp3,tim,"hot guys, hot, guys",were 3 hot guys!
12,4%20QUARTERS.wav,jeff fischer,"football, football game, 4 quarters",this game is 4 quarters long
13,5th.mp3,unknown man,"fifth, 5th",fifth?!
14,"8-21%20Show%20pony,%20stable%20boy.wav",willy,"show pony, pony, stable boy","Im a show pony, hes more of a stable boy"
15,9-3%20Dumped%20her.wav,plowboy,"dumped, dump",I dumped her!
16,A%20WINK.wav,cat,wink,"He gave me a wink, like you better believe it mister"
17,AARRRRRRGH.wav,tim taylor,"home improvement, tim taylor",signature tim taylor argh noise
18,ABSOLUTE%20DELIGHT.wav,cat,delight,You have been an absolute delight!
19,ABSOLUTELY.wav,unknown man,absolutely ,"yea, absolutely"
20,ACEE%20LAUGH.mp3,unknown man,"laugh, laughing","ha, ha"
21,ACT%20TOGETHER.wav,caller douglas,"act together, douglas",he better get his act together
22,ACTIONS%20SPEAK%20LOUDER.mp3,plowboy,actions speak louder than words,"well, actions speak louder than, you know"
23,ADD%20MUSTARD.mp3,plowboy,"mustard, plowboy, boom, it s over",you know you add the mustard and boom its over
24,ADMIRE%20TIM.mp3,unknown woman,"admire tim, woman","like I said, I admire tim"
25,ADMIT%20I%20WAS%20DRUNK.wav,weezer,"admit, drunk, weezer","Ill admit, I was drunk"
26,AFFECTION%20FOR%20DOUG.mp3,cat charlie,"glorious man, I love you","youre a glorious man, you really are, I love you"
27,AGREE%20TO%20DISAGREE.mp3,unknown woman,agree to disagree,"Im going to agree to disagree, agreeably "
28,AH%20YEA-JIM%20THOMAS.mp3,jim thomas,"yea, jim thomas","uhhhh, yea"
29,AHHHHH.wav,tim,"disgust, ahh",ahhhhhhhh
30,AINT%20CHANGIN.wav,doug,"changing, changin, nothin",we aint changin nothin
31,ALL%20OVER%20MY%20CHEST.mp3,tim,"pop, chest",could it pop all over my chest
32,ALL%20THE%20JEWS-TIMBERFAKE.mp3,timberfake,"jews, timberfake",get all them jews in there
33,ALL%20TIME%20CATCHER.wav,willy,catcher,I believe Ill be the all time catcher
34,ALLEN%20CRAIG%20PISSED.wav,tim,"allen craig, pissed",how pissed though do you think allen craig is?
35,ALLTHESAME.wav,charlie,all the same,theyre all the same
36,ALMOST%20OVER.mp3,john mozeliak ,"is this almost over, interview, guest",is this almost over?
37,ALOT%20OF%20LEGS.mp3,janie the lesbian,"legs, lesbian, janny",theres a lot of legs involved
38,ALPENA-FREE%20DOTEM.mp3,alpena,"free dotem, #freedotem, alpena",I think were getting to that point where you gotta free dotem
39,ALRIGHT%20ALRIGHT.wav,matthew mcconaughey,"alright, mcconaughey",alright alright alright
40,ALRIGHT%20PAL.wav,cat,"alright, pal",alright pal!
41,ALWAYS%20OPENING%20MOUTH.mp3,tim,"opening mouth, doug ",Dougs always opening his mouth
42,AMEN.wav,joe strauss,"amen, jesus",Amen
43,AMERICA%20AMERICA.wav,willy,america,"america, america, this is you"
44,ANAL%20AT%20SBARRO.mp3,tim,"anal, sbarro",go up to sbarro and have anal
45,AND%20I%20QUOTE.wav,larry ,"quote, larry nickel",and I quote!
46,ANGRY%20TROLL.mp3,unknown,angry old troll,youre an angry old troll!
47,ANYTHING%20ELSE.mp3,larry,anything else,anything else?
48,APACHE%20SCREAM.mp3,apache,"scream, apache",*apache scream*
49,ARE%20YOU%20TALKING%20TO%20ME.mp3,unknown woman,"woman, talking to me",are you talking to me?
50,ARROGANT%20PRICK.wav,barry switzer,"johnny manziel, barry switzer, prick, arrogant",arrogant little prick
51,ASK%20MYSELF.wav,tim,"dont know, dunno","who knows, hey I dunno, listen I dont know, do I know?  No I dont"
